Q/A,QA,Category_1
question,"If there was an award by the jury in this 0 case for punitive damages and that award was in the amount of $50 million, would that amount financially destroy Philip Morris USA?",bin-d
question,Put it out of business.,qo
question,"Have you ever had the occasion, sir --",incomplete
question,"Have you ever had the occasion to 4 evaluate an amount of money, whether it be an individual case, a number of cases or whatever that would be awarded in punitive damages and how it would affect Philip Morris USA?",bin
question,When?,wh
answer,I don't recall the exact timing.,dno
question,Approximately when?,wh
answer,"Again, I don't recall the exact timing, but it would have been within the last five to ten years.",dno
question,"This analysis, this evaluation that you just explained to us, was that something that you did yourself?",bin
answer,No.,n
question,Were you in charge of doing it?,bin
answer,No.,n
question,Who was?,wh
answer,"I don't have specific names. I don't recall, but from a process perspective, we would have worked with counsel in charge at the time in the management of Philip Morris USA, again, to evaluate the current business environment, the financial position of the company, its obligations, those that may be on the books, those that may not be on the books. So there is a process that we would that we would go through.",dno
question,What was the total amount that was being evaluated?,wh
answer,I don't recall the amount.,dno
question,Give me the approximate amount.,wh
question,Was it more or less than $50 million?,or
answer,I don't recall.,dno
question,More or less than $25 million?,or
answer,I don't recall the amount.,dno
question,I am not asking for the specific amount. I am simply asking for a range.,sno
question,"Well, I understand that. And you told me about that. And you told me that you recall having done that at some point within the last five to ten years. Correct?",bin-d
question,Is that the only time that you recall doing that?,bin
answer,I don't recall the number of times.,dno
question,"Well, do you not recall if you have done that more than one time?",bin
question,"Again, I am not asking you for exact, Mr. Simmons. Are we at least at the point where Philip 0 Morris USA has done that more than once?",bin-d
question,"And it is your testimony in connection with the one time that you do have a specific recollection of, that you cannot give any approximate range from 1 million dollars in punitive damages to 100 million dollars; is that your testimony?",bin-d
question,"Now, would you agree with me that that kind of range is really a meaningful amount of money, right?",bin-d
question,"And it is your testimony that you can't say whether or not it was within that range, correct?",bin-d
answer,"I don't recall the amount, but it is possible that it was within that range.",dno
question,"Now, is it your testimony that you would 3 have to do this evaluation you speak of if there 4 were an award of 1 million dollars in punitive 5 damages?",bin-d
answer,"We would go through the process. Certainly a smaller amount in the scenario that you just referenced would require 'less analysis, but we still would go through a process to do the evaluation.",sno
question,"All right. You would go through the process. I understand that. That's basically just a business function, is it not?",bin-d
question,"While you would go through that process for an award of a million dollars, as you sit there under oath you really would have no hesitation or doubt but that the company had the ability to pay a million dollars without going out of business, right?",bin-d
question,"But my question was you really wouldn't have any doubt, knowing the finances of Philip Morris USA as you do, as the top person at Philip Morris USA when it comes to finances, you wouldn't have any doubt in your mind even before going through that analysis that Philip Morris USA could pay one million dollars, would you?",bin-d
question,"Now, Mr. Simmons, with all due respect, that wasn't my question. My question is an award of a million dollars would not cause you to have any doubt that Philip Morris USA could pay that amount of money without it impacting Philip Morris to such an extent that it would go out of business, would you?",bin-d
